2024-08-04T23:08:51.945Z [info]: This message will be logged to both console and file.
2024-08-04T23:08:51.949Z [info]: This message will be logged only to the file.
2024-08-04T23:08:53.408Z [info]: WalletManager initialized
2024-08-04T23:08:55.512Z [info]: Password correct. Access granted.
2024-08-04T23:08:59.990Z [info]: Wallet 9HataN88KBkQMPrstv6VNcX9pb4Ys2dFy8XfQvLj93HF has 0.015 SOL
2024-08-04T23:08:59.990Z [info]: Wallet C7g2LScB5ZmVNnev9f43L9fYbdfSnDc1UdquL6vwUKst has 0.01 SOL
2024-08-04T23:08:59.991Z [info]: Wallet BmBA6dr8tSwAgP5FzaAKJTQ8t72StoeTVzCi9kU1NZFS has 0.01 SOL
2024-08-04T23:08:59.991Z [info]: Wallet H2ziRmtL8U9M3nXhqj2gbidBgtnpqxCVbKutJghpiA4D has 0.005 SOL
2024-08-04T23:08:59.992Z [info]: Wallet BETNDytLj7VPB4DKha7LLTo3oSiRDzsCmMGNa2xY1X6f has 0.005 SOL
2024-08-04T23:08:59.992Z [info]: Wallet 6VJonKKbQkDk8Zo9udL2GAS5nNz3je9x2Ww1jDTwZMRq has 0.005 SOL
2024-08-04T23:08:59.993Z [info]: Wallet 9stqe2s9jewV7SWknMwsnBQ6LFQ1qmeqQDBPGWnViorb has 0.005 SOL
2024-08-04T23:08:59.993Z [info]: Wallet DmHdvxhd4oMWPcCoRsDJdtysjCZjHN9zMy4tsPV7jne5 has 0.005 SOL
2024-08-04T23:08:59.994Z [info]: Wallet DN23HqktatUwM46meEGPmrNuYrdBj8Nw6Z6CkZnVgLUp has 0.005 SOL
2024-08-04T23:08:59.994Z [info]: Wallet damBzB83jXcQvEAx8Pb8VDMXpfeXQBryLFYn7qTrTPH has 0.005 SOL
2024-08-04T23:08:59.995Z [info]: Wallet 9SC9vuVbEH6xVEnd8d7zvf1cUc2TXD5DmBd64KVfywLd has 0.005 SOL
2024-08-04T23:08:59.996Z [info]: Wallet ADzDaSrGkUAKV7VweV37Txp6sVLfK5ixkSmjjiW2ckGY has 0.005 SOL
2024-08-04T23:08:59.996Z [info]: Wallet GGzgQdGavEgd7Wc9jCtdw5xyDrdoiKiqEg5acQVjfbsS has 0.005 SOL
2024-08-04T23:08:59.997Z [info]: Wallet 41g8916S2QKd2xsE1zSgBkDXckiS5EXRHkcGFfjPeGJB has 0.005 SOL
2024-08-04T23:08:59.997Z [info]: Wallet 599UZ8TXjF9CviKhKnDHngmrgefQCRLpHMnTNrizan1b has 0.005 SOL
2024-08-04T23:08:59.998Z [info]: Wallet AJ6H3H4m8hJ7HFKZZLbGG6KWLycZ31Vq6dTLsLfzEKvo has 0.005 SOL
2024-08-04T23:08:59.998Z [info]: Wallet CqF4ZEZpFHyffhSVW4ftk6vBu5LCEjxYojhqex3iJ1HQ has 0.005 SOL
2024-08-04T23:08:59.998Z [info]: Wallet AAiv4Yp1rU7VWzKy8peQAFvWVxXuLeqfFirVmR7fX19s has 0.005 SOL
2024-08-04T23:08:59.999Z [info]: Wallet G2jM3bL7i1GXbkhdkVh9NkmzHgoWvUHQ29EiMW8YXPci has 0.005 SOL
2024-08-04T23:08:59.999Z [info]: Wallet J2Lxf1N2URKD2DX9iFmCMf5KqbRceZruJ8xrWpoYJkqY has 0.005 SOL
